text,label,emotion
ive worn it once on its own with a little concealer and for the days im feeling brave but dont want to be pale then its perfect,1.0,joy
i feel very strongly passionate about when some jerk off decides to poke and make fun of us,1.0,joy
i was feeling so discouraged we are already robbing peter to pay paul to get our cow this year but we cant afford to not get the cow this way,0.0,sadness
i was feeling listless from the need of new things something different,,sadness
i lost my special mind but don t worry i m still sane i just wanted you to feel what i felt while reading this book i don t know how many times it was said that sam was special but i can guarantee you it was many more times than what i used in that paragraph did i tell you she was special,1.0,joy
i can t let go of that sad feeling that i want to be accepted here in this first home of mine,2.0,love
on a boat trip to denmark,1.0,joy
i stopped feeling cold and began feeling hot,3.0,anger
i need to feel the dough to make sure its just perfect,1.0,joy
i found myself feeling a little discouraged that morning,0.0,sadness
i feel selfish and spoiled,3.0,anger
i was stymied a little bit as i wrote feeling unsure that i might go somewhere with the story un)intended,5.0,fear
i bag qaf look who s cryin now jacynthe lookin good feelin gorgeous rupaul the skins scissor sisters valentine the sun fed up kayle who s your daddy gerling awake the unkind u,,joy
i feel you know basically like a fake in the realm of science fiction,,sadness
i hate living under my dads roof because it gives him an excuse to be an asshole to me because hes providing for me to live here i think he feels that he needs to make me feel as unwelcome as possible so ill leave,0.0,sadness
i keep feeling pleasantly surprised at his supportiveness and also his ease in new situations,3.0,surprise
i have this feeling that if i have anymore vigorous sexual activity in the coming yes i misspelt that as cumming days parts of me will begin to fall off,1.0,joy
i feel my mom s graceful warm loving smile as i rob the time to nurture myself and heal,0.0,joy
i feel in they talk the brother in law is extremely popular the one that had no me to think is so stiff,,joy
i ate i could feel a gentle tingle throughout almost as if i was feeling the healing taking place at a cellular level,2.0,love
i feel like we are pressured into being young beautiful thin and depending on the trend having the girls rejuvenated or butt implants,5.0,fear
i began having them several times a week feeling tortured by the hallucinations moving people and figures sounds and vibrations,4.0,fear
i am now nearly finished the week detox and i feel amazing,5.0,surprise
i feel selfish as i read back to my former posts how i have never asked for prayers for others how i never considered that there may be others out there that deserve their prayers answered before my own,,anger
i know the pain parents feel when an enraged child becomes violent,3.0,anger
i HAVE beEN oN a rolLER COasteR Of emoTioNs oVEr these sUppOseD feeLings THAT SomEthInG UnpLeasaNt WAs ComiNG,3.0,sadness
i suppose my own truth needs to be shared i havent been feeling very faithful lately ive dwelled more in doubt and uncertainty than i have in faith,2.0,love
i WAs FEeLINg bRAVe WhEN i boughT IT AND cleArLy whEN i WaS DoiNg MY mAKeUP,4.0,joy
i am feeling miserable but c i am also the proudest mum on earth,0.0,sadness
i figure my family loves us no matter what but around anyone else i feel embarrassed when michelle goes ballistic,0.0,sadness
i don t necessarily think f bombs and sex are necessary in all stories but i feel reassured when i see them in print journals,1.0,joy
i can feel my ovaries aching talking to me as i like to put it,0.0,sadness
i didn t feel like doing much chris and i mostly just took too many pictures of unimportant stuff,0.0,sadness
im tired of the book and ready to have it out of here and finding out that i was given unsuitable images and then feeling blamed for the result did not sit well,0.0,sadness
i DId succESSfuLly maNage tO STREtCh A Mxm CanvAS i FeeL ThAt This IS aN ACHieveMent IN ITself foR me and WaS A WOrthWHilE uSaGe oF My monEy aNd TiME i wilL USE thE CAnVAS For fuTuRe brIeFs,4.0,joy
i think feelings are one of nay the most important things we have,1.0,joy
i feel completely honored to be an influence to this young talented fully alive beautiful girl woman,1.0,joy
i feel angered and firey,3.0,anger
i feel like a miserable piece of garb/age,3.0,sadness
i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything,3.0,anger
i drove dannika to school i was feeling a little bit rushed and this is what greeted me as i turned the corner,3.0,anger
i remember feeling so hellip furious with the shooter,3.0,anger
I FEEL VERY HAPPY AND EXCItED SINCE I LEARNED SO MANY THiNGS,2.0,joy
i feel that at shows and around show horses people are trusting and relaxed because most show horses are safe and quiet and are handled frequently,0.0,joy
i only have a couple of things left to make and at the start of december i am done and feeling smug,1.0,joy
i think about how u could make me feel and realize that everything will be ok,1.0,joy
i feel so worthless during those times i was struggling finding work,0.0,sadness
i will be able to lay on my bed in the dark and not feel terrified at least for a while,4.0,fear
I wAS rEADY tO mEeT MOm in the AirPort anD FeEl HEr EveR SUppOrTivE ArMS ArOUNd Me,4.0,love
im feeling bitter today my mood has been strange the entire day so i guess its that,3.0,anger
when my mums brother passed away after having been involved in a car accident he was bringing me a present as i had passed my form five exams with flying colours,0.0,sadness
i am letting go of the animosity that is towards anyone that i feel has wronged me,3.0,anger
i talk to dogs as i feel they cannot understand words but they can read emotions and know how to be supportive i decided i should go home,2.0,love
i feel like throwing away the shitty piece of shit paper,0.0,sadness
im starting to feel wryly amused at the banal comedy of errors my life is turning into,1.0,joy
i find every body beautiful and only want people to feel vital in their bodies,,joy
i hear are owners who feel victimized by their associations the associations attorneys or the property manager,5.0,sadness
i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country,3.0,anger
i wont let me child cry it out because i feel that loving her and lily when she was little was going to be opportunities that only lasted for those short few months,2.0,love
i alba i feel good and im fitting in,,joy
i feel excited about what im doing again i feel like i have a ton of catching up to do,1.0,joy
i also know how good it feels to look back and see that i honored my word and that helps from the start,,joy
i mean really really hard works to obtain such a high technical skill in wushu feel kinda ashamed but somehow motivated when i saw kids doing wushu performances whole heartedly despite their tiredness,0.0,sadness
i feel like things are getting a little overwhelming a few spritz of this toner really helps calm and soothe me,5.0,joy
i hope that you realize how such little effort is required to make a person feel better about themselves or their situation whether its me a family member a college or high school friend a neighbor down the street or even a complete stranger,1.0,joy
I am feeLinG so fEstIVe ToDAy THat i M evEN goIng tO PUT tHe tRee up As sOOn aS I ve FINisheD DoinG ThiS And caTChING uP WITH tHE WEeK S GoInGS ONs On cOrONatIOn sTreET,1.0,joy
finding out that i am not ill not seriously,,joy
i did alright in class but a combination of feeling unsuccessful being man handled the stress of late and my horrible week resulted in my almost crying after i finished grappling,0.0,sadness
i feel it rarely advances any worthwhile cause and i always stick to the rule of not posting anything online that i wouldnt be prepared to say to somebodys face,1.0,joy
i am feeling all useful,1.0,joy
i feel like some of you have pains and you cannot imagine becoming passionate about the group or the idea that is causing pain,2.0,love
i feel ugly i m more inclined to wear ratty jeans and a sweatshirt than a beautiful dress though i might still wear a pair of heels around my house to boost my self esteem ever so slightly but i definitely won t bother to buy a new pair,0.0,sadness
im not feeling homesick yet so im feeling alright about this,0.0,sadness
i dance i should feel pretty,1.0,joy
i workout every morning before and feel fabulous for it,1.0,joy
i feel all of this just from her eyes not from her touch or from her words but from her eyes i know that i can assuredly return this love and know that it shall not be in vain,0.0,sadness
i was feeling fabulous until friday morning when i started to get these awful cramps at work,3.0,joy
i feel honoured to have been able to call them friends to share their brotherhood,1.0,joy
i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town,4.0,fear
i had stated to her the reason i feel so fearful is because i feel unsafe,4.0,fear
i didn t feel like getting shaken down by the tsa quite yet so i pulled off to the side at creative croissants for a lunch,,fear
i get intO GrOUPs i feel ReaLLy aWkwaRd ANd OVercoMpensaTE by beINg toO TALKaTivE Or BY geTting realLy Quiet,2.0,sadness
i am very excited to finally meet that companion that companion who will be with me at all times especially when i am lonely very lonely that companion who will never disappoint me that companion who will put his arms around me and make me feel loved,5.0,love
i feel they are pretty safe on my blog img src http s,1.0,joy
i feel pretty eager to get it done as i have a fun plan for quilting it,1.0,joy
i am feeling horny so i ask her that lets go ho]me,2.0,love
i think if a poem doesn t put pressure on me i don t feel uncomfortable in the sense of feeling more than i can feel understanding more than i can understand loving more than i am able to be in love,4.0,fear
i too feel as if i am a stranger in a strange land and i am raising my son in a place that is not his father s ancestral home,5.0,surprise
i left to the shower questioning what i feel she was gorgeous such a fantastic body so confident in her movement effortlessly graceful,1.0,joy
i feel energetic and bouncy i m more than happy to go to the gym run around outside with my kids or take the pram for a long walk often i do all three in one day,1.0,joy
i was still feeling strong,1.0,joy
i didn t burst into tears or some other devastating release of feelings or thoughts because i seemed to know that rich also had to go through his own space without me just dumping on him,1.0,joy
i wanted to get a pumpkin spice latte this morning but it was hot and the last thing i wanted was a hot coffee maybe i am feeling a little bitter,3.0,anger
i suppose he feels badly because he was a bit skeptical of her pain over the last few months shes had a hyperchondria and exaggeration habit in the past though he never openly questioned her about it,2.0,fear
i clench to the corners of the bed to feel assured,3.0,joy
\i also feel like i am being selfish in not being grateful for the life i do have and the amazing things in it,3.0,anger
i called it god because i d seen god in a book and figured god was the right name for feeling so utterly affirmed and accepted without question,2.0,love
i don t know why perhaps because other girls in the office had nice short hair or perhaps i was just feeling rebellious,3.0,anger
i do not feel miserable at all because my family is not the type that celebrates eid,0.0,sadness
i might go get a car wash if i am feeling really generous my car needs it,,joy
i still feel sleep deprived she is almost sleeping through the night giving us,,sadness
i just feel really violent right now,3.0,anger
i am bloging again i am sitting here feeling content with my dogs amp cat etc and i know that how lucky we are the truth is we,,joy
I STARTed FEELING FUNnY AND THeN FRIDAY I WOKe UP SICK AS A doG,5.0,surprise
i feel a need to protect my parents against the witch hunt that repressed memory therapy can be,0.0,sadness
i feel disgusted to even be associated with this woman by my race and nationality,3.0,anger
I lAughED ThEN BITtErly aGain buT i wAsnt FEElING bittER,4.0,anger
i couldn t know what he was feeling then i thought that he wished he could have been there with us too for each of us knew that however much we hated it at first it was an experience we would remember forever,3.0,sadness
i was feeling quite mellow and i wanted a soft easy look to wear with my beginning of a cold,,joy
i told him that maybe i just need time to think how ive been feeling indecisive about things lately,4.0,fear
i still feel it does the genre a disservice when stories are resolved artifically,1.0,joy
i always know when i am feeling artistic when i write my name while i am in an artistic mood the i in manitz i draw a circle not a dot the bigger the dot the more artistic i am feeling and if it is just a line like an accent mark in spanish im pissed,1.0,joy
i remember feeling really terrified when i was in brazil on a bus that was going up steep mountain hills on the side of the mountain in the middle of a big storm wondering if we were going to fall off,4.0,fear
i could feel her whimper to the thought of being unloved and uncared for,0.0,sadness
im certainly not going to sit and tell you whats going on in my personal life but i feel that if you were ever curious about whats going in my life all youd have to do is watch the show,0.0,surprise
im sorry that there wasnt more humor in this post but im not feeling all that funny,5.0,surprise
i feel ive got my foot in the door of the fantastic world of walking and running the trails fells and mountains,1.0,joy
i say whatever comes in my mind tell you directly what i feel a jealous girl not because i m insecure but because i just love that person a trust worthy friend sweet to the one i love,3.0,anger
i feel strange coming back to work after my one day holiday,4.0,fear
im clearly influenced by the dash happiness of emily dickinson for example and i use dashes instead of colons or semi colons to enhance the feelings of rushed enjambment in the sonnet,2.0,anger
i am fatter because the only thing in my life that can remain under my control is whether or not i get to eat peanut butter on bread when i get home from an impossible day of to first world looking yet third world feeling hell of needy and neglected little girls,0.0,sadness
i could claim to redeem the genre but it didn t leave me feeling as entirely frustrated to the point of beating my head against\ a wall either,2.0,anger
i feel so sad and hopeless,0.0,sadness
im getting the feeling that my classes are a little intimidated by the concept of a lit,4.0,fear
I STILl FEEl grOGgy BUT I HAVE TO gET UP To dO THE ROUTINE FOR MY SON,1.0,sadness
i have a feeling my view isnt going to be very popular and thats fine,1.0,joy
i want to hold this feeling of shocked awe and wonder forever,5.0,surprise
when i heard a rumour that the st year exam results were out i had fear that i might be one of the failures,4.0,fear
i want to feel valued i do and appreciated i do and know the people who love me arent going anywhere even if the nature of the relationship changes,1.0,joy
i know there are days in which you feel distracted,3.0,anger
i use it regularly with relaxing music and always feel invigorated afterward,1.0,joy
im feeling distracted i tend to practice with my eyes shut as much as possible,3.0,anger
i feel like its perfect a w see youtube has its influences i even know trends,1.0,joy
i specifically wanted tango was feeling shy and maks quite the opposite hard to get far enough away from him to get good pics lol,,fear
i also didn t feel very weird sleeping in my bed while the two of them slept in hers,4.0,fear
i just wish okay so i was thinking about it earlier today and heres the thing being all cooped up amp restless has made me feel so needy,0.0,sadness
ive lost some weight such that i could fit into a tiny skirt that ive been unable to wear because i didnt feel confident in it until now,1.0,joy
i hope to feel a bit more creative again soon and miss its presence in my life blog,4.0,joy
i am no fan of the current president i am a conservative and it made me feel unwelcome,0.0,sadness
i will enclose her verses on her could not weigh much more thinking and feeling curious to hear the odd couple,5.0,surprise
i begin to feel complacent with my life here,2.0,joy
i feel vulnerable and alone,4.0,fear
i remember feeling inspired and thinking that it was a fine example of parenting,1.0,joy
i feel like i m always the one getting punished for stupid things and i feel like i m being chastised for behaving,0.0,sadness
i really feel that my life is perfect right now and if it isnt too much to ask for i just hope that everything would stay the same,1.0,joy
im there i simply feel conte'nted,1.0,joy
im not saying cut everyone out of your life but i feel its important to find comfort in solitude meditation or working on projects alone,1.0,joy
i think im just being stupid feeling nervous,4.0,fear
i feel honored by it,1.0,joy
i was feeling an act of god at work in my life and it was an amazing feeling,0.0,surprise
i feel im like a bird flying in the air in a very carefree manner,1.0,joy
i have to revise my replies over and over again in my mind just to make sure that the reply sounds appropriate enough and that the person who receive the reply will not feel offended,3.0,anger
i felt sad when a friend of mine died and i felt that something had irrevocably gone away from me,0.0,sadness
i died would alex and matt feel regretful for not coming to visit,0.0,sadness
i feel that educating families and supporting and educationg mamas and papas is key,,joy
im sure its because when i am lost i feel like everyone is being hostile toward me and i hate that feeling,3.0,anger
i feel like these are very boring sewing makes since they are so easy and there is nothing else to say about them than my fabric usage,0.0,sadness
i have always liked to use the original fragrance to freshen up and lightly scent my underwear drawer to feel gorgeously glamorous and girly,1.0,joy
i feel like i talented young man i don t feel talented then i don t to work with,1.0,joy
i feel ;curious about all this things around,1.0,surprise
i feel the reason were apart of each others lives is because im in his to help him become something to push him to succeed and be successful and happy,,joy
i feel now so uncomfortable with all of them i guess is me,4.0,fear
i feel pretty mellow so far about whatever healing wounding process may be getting underway,,joy
i wonder sometimes whether i have just added to the antagonism and misunderstanding that many people have towards those of us who feel reluctant to wholeheartedly support the traditional armistice day remembrances,4.0,fear
i legs would feel shitty for a few miles but would come around like they always do,0.0,sadness
i know its an unfair reaction but i have run out of ways to explain how i feel shaken is the best i can come up with right now,5.0,fear
i seriously feel so blessed for the support that i have at home it s amazing,2.0,love
i feel abused and maligned but mostly tired of the nervous feeling anticipating danger,0.0,sadness
i am feeling pretty restless right now while typing this,4.0,fear
i know gosman s is a touristy place to go if you are in the montauk area but infrequent visitors to this area want to head there for the harbor feel the gentle cawing of the seagulls lapping water against the wood pilings and relaxing breeze coming in off the water,2.0,love
i have to admit these hilarious e cards are seriously exactly how i feel i am so stressed out i feel at any moment i could start hy,0.0,sadness
i wrote last year when i was feeling more dull and inarticulate than normal,0.0,sadness
id kick myself into gear but i just feel irritable with no motivation what so ever,,anger
i feel as a child innocent feelings illustrating a,2.0,joy
i have the satisfaction of feeling that i m no longer supporting or contributing to the looter driven consumerism that has made a walking corpse out of the america i so revered when i was younger,2.0,love
i will start to feel resentful,3.0,anger
i will spend my vacation on me no obligations no headaches no feeling like i am being emotional blackmailed into being three places at once,0.0,sadness
i feel herpes coming i would be very surprised at this point if i make it out again after my checkup at the clinic on wednesday,5.0,surprise
i feel so fucked like everyday of my life,3.0,anger
ive worked really hard all year to try to make each child in the class feel like they are valued,1.0,joy
i am feeling disheartened with my words as of late,1.0,sadness
i didn t feel like i was being bitchy at the time but upon retrospect why wouldn t he think that i was trying to shake him off,3.0,anger
i still second guess myself and still have a terrible time making definitive decisions but there are certain truths that i do know about myself and i feel assured by those truths,1.0,joy
i don t feel like eggs benedict i ll have something equally delicious,1.0,joy
im feeling my way through and trusting myself,1.0,joy
im feeling inspired by all the summery elements of my favorite past time beach bummin,1.0,joy
i can feel that she smiled i love you even more gorgeous,1.0,joy
i continue to define and discover what home can mean here in amsterdam whenever i feel a pang of blank sickness it is more in line with missing the cultural mindset of american city life which is much different from the cultural mindset of amsterdam,4.0,sadness
i make an arcade i have a very simple purpose and that is to try to make it feel absolutely comfortable physically emotionally practically and absolutely,1.0,joy
i can t say i feel all that sympathetic,,love
i was feeling over eager and hopped on to the tube to ride the eye of london,1.0,joy
I Go Online AnD I See a friEnd talkINg tO anoThER OnE ANd Is noT talKINg To Me i FeEl igNOrED I FeEL unlOveD,1.0,sadness
i am not monitoring what i have to say about anything if you ever come across any of my blogs and feel offended please dont stop by here again,3.0,anger
i feel like that s so weird that i had cancer that one time,5.0,surprise
i want to feel safe and well and that maybe just maybe theres a small chance my i can feel joy and my dreams can come true,,joy
IM fEElInG cRANKY,4.0,anger
i also think it is puzzling that after this particular administrator has singled me out for praise on my ability to get my students to read that he feels that ssr time is not a productive use of class time,1.0,joy
i tried to fill it by befriending people that i knew were only using me but i didnt care because i needed to feel accepted even if it was by some complete loser,,love
i feel stressed always,1.0,sadness
i remember feeling another cramp but i also ignored it,0.0,sadness
i hope i feel mellow well fed well slept at peace with myself within this external world,1.0,joy
i have also learned it takes a lot of effort and positive thinking for me not to break down in tears over feeling exhausted and guilty for not being a better mom,0.0,sadness
im feeling awful because we hung out with my friend and her new baby the day before,0.0,sadness
i feel very relaxed and fine,1.0,joy
i FEEL thE SUFFERING AND i REaLLY FeeL THe PAIN,5.0,sadness
i go to sleep i feel as if i m giving up precious time to do something else with my life,,joy
i feel like i ve been neglecting my beloved mom blog,1.0,joy
i shalt say we did cos i din feel a thing when he wrote hw he is keen on xxx,,joy
i just feel terrified like im on the edge of a precipice staring ahead,4.0,fear
i feel totally listless exams have come and gone and now i have a whole five or so months in front of me with no uni and free time,,sadness
i feel furious that right to life advocates can and do tell me how to live and die through lobbying and supporting those politicians sympathic to their views,,anger
i feel as if i was abused in some way,0.0,sadness
im still paying attention but i feel distracted,3.0,anger
i started the third block feeling hot and cold and tingly all at the same time knowing that i still had five hours of examination ahead of me having no idea if any of it would do any good,,love
im hesitant to make suggestions because i feel as if the outcome would not be sincere,1.0,joy
i feel not too terribly fond of the majority at this precise time,2.0,love
i can feel myself gaining control over the damaged goods aspects of my personal security,0.0,sadness
i was that i bombed that first interview i left the second interview feeling pretty fan freaking tastic,4.0,joy
i think its kind of taken us this long to build up a good inventory of sauces oils spices and other non perishables to feel like we have a chance at making something delicious without having to specifically go out and buy every single item in a recipe,0.0,joy
i now feel i can advise other dads whose children will soon become teenagers it s not cool to pull up to your kid s high school to pick them up in a smelly jalopy with plants coming out the windows,,joy
i feel victimized by the drag on our country with heads in the sand traditionalists i hesitate to call them conservatives for fear of offending real honest to god conservatives who still think the world was created years ago and that stuff like skeletal remains are some kind of hoax,4.0,sadness
i Would fEeL lUCKy to calL anY OF tHE MAterIaLS aND kiTS oN YouR Site mIne ThEY ARe JuSt BeaUtIFulLY cUrAtED,4.0,joy
i have been for my bloods which proved the reason i was feeling so lethargic and rubbish was that i am low on iron so i have now been prescribed iron tablets,3.0,sadness
i have my own mind and i feel like my mind is dangerous to my life,3.0,anger
i feel like i love everyone or at least i am compassionate toward others,2.0,love
i feel as if i should be punished for neglecting you,,sadness
i feel like it just doesnt capture the beauty of this lovely polish,2.0,love
i feel like i ve lost some of my main roots i feel less secure emotionally financially and socially,0.0,sadness
i feel like i should just bite the bullet and do it but every time i think about it i feel stressed because im not fully supported on my decisions,,sadness
i know i have some obnoxiously immature sounding verbal tics and my voice is kind of nasal and i don t always come across like the sharpest tool in the shed especially when i m feeling awkward but there s knowing and there s knowing you know,,sadness
id just had a terrible nightmare and was feeling a little disturbed,,sadness
i didnt want to walk passed there just in case the customers feel disturbed,0.0,sadness
i want other sufferers to be able to find me in the hope that my battle can help them to feel that they are not alone,3.0,sadness
i am feeling exceptionally reluctant to go to school tomorrow even though its monday and the timetable is pretty good,4.0,fear
I Am sO fEStIVE ThIS fEElS sO dEliCiouS WHeEEeEe whAT a greaT NigHt,4.0,joy
i am not looking forward to being beaten down to feeling like a disappointment to my husband or to the emotional pain,0.0,sadness
im sick of feeling crappy,,sadness
i feel like i almost convinced myself this is going to be the pattern,,joy
i also wear them when im wearing a dress that makes me feel slutty feels like those antique underwears but obviously a little bit more edgy or maybe a little bit more than a little bit,2.0,love
i feel a perverse pride in my self control that i managed to stay where i was ordered and not reach for the tempting human flesh so close before us,0.0,sadness
i feel so impatient so easily annoyed so outraged by the blatant defiance that seems to be olivias most prominent characteristic these days,3.0,anger
i was positively giddy when the kids left this morning after our very last official class of the year but now im feeling a little sad,,sadness
i feel supportive of him i also cant help but feel jealous,2.0,love
i mainly like to text because i feel like i am so much more clever with the written word rather than the spoken,1.0,joy
i seriouly feel i am not being respected i dont have my privacy i am being ordered around,1.0,joy
i said in the words of a devotee that i feel relieved when i hear the your title as deen bandhu as i am the most fallen person but i become afraid at your title of uplifter of devotees as i don t consider myself to be a true devotee and hence unworthy to benefit from the aspect of your personality,1.0,joy
i personalities that can feel pain and suffering,0.0,sadness
i guess i would feel more like joseph with walt trusting me to care for moth-er and over the finances which he did six months before he died there are times i want to defend my self but god makes me be quiet,3.0,joy
I waS Warming Up starTIng feeling A lITTle LEThArgic,5.0,sadness
i feel excelent but sometimes theres just nothing to do especially since im not really keen on video games anymore i watch a bit of anime and some movies but theres just got to be more in my life,1.0,joy
i wonder if this is what master is feeling i am r wanting and eager to please and i am master who could very much enjoy his my attentions but won t because it is wrong as i he has no desire to return his my affections,1.0,joy
im feeling a little bit more positive now as things were quite hard at first as my savings were eaten up quickly with costs and i didnt want to become a burden to my boyfriend but weve come out the other end and im feeling brighter and more inspired about things to come,1.0,joy
im just feeling rather sentimental right now and just have to say i feel so lucky to be maxs mom,0.0,sadness
i make myself show up and feel isolated in the crowd ill know i was wrong about the anti social feeling,,sadness
ive learned how to turn off all my emotions more and more and i often find myself feeling completely blank while my mother is crying continuously over my suicidalness,0.0,sadness
i feel loyal to style,5.0,love
i can understand that you may feel youd rather not do your bit for the vulnerable and homeless in london in that precise way,,fear
i can finally stop feeling listless and like a waste of space,,sadness
i know im feeling agitated as it is from a side effect of the too high dose,4.0,fear
i do feel a shift in me to being more positive,1.0,joy
i am feeling brave enough,1.0,joy
fea;r of thief,1.0,fear
i feel clever nov,1.0,joy
i always spend more money there than i mean to and feel dissatisfied when i exit the store,3.0,anger
im feeling really quite angry,,anger
I feel keRrY dIdNt Do bY SupPORtiNG CiVil UNIoNS And gay equAliTy,5.0,love
i feel really ashamed,0.0,sadness
i feel to have these amazing people in my life,5.0,surprise
i finally left feeling judged and ridiculed because i am intelligent,2.0,joy
i is starting to feel a bit insulted by this stranger,,anger
i have many days where i feel hopeless today the light at the end of my yellow brick road was shining just a little brighter,,sadness
i actually feel sorrowful,0.0,sadness
i see wome:n wearing boots i feel envious that i want to curse them,1.0,anger
i will feel what i feel and tell you and together we will apologize and make up and keep loving each other to bits and bits,,love
i go up to her and i say feeling very impressed with myself youre naomi klein right,,surprise
i began to feel each of my senses dull until the cold black unconsciousness over came me,3.0,sadness
i suspect feel less than fond in private,2.0,love
i was so honoured that this young woman felt comfortable enough to ask me i had kind of a faux hawk thing going on back then so i must have looked dykey enough for her to feel safe talking to me,,joy
i do have to wonder when you re cast as a caveman and you re told you re perfect for the part do you feel insulted or complimented,,anger
i feel convinced plus so many diverse price tags that i feel sure everyone should come up with the funds to have their plot to be lighted up relatively economically,1.0,joy
i feel empty when the baby isnt there,0.0,sadness
i stopped feeling so exhausted a href http provokingbeauty,0.0,sadness
im feeling font friendly,1.0,joy
I hAD My hAND oN mY BeaDs cONsCIouSly BrEaTHiNG cOnsCIOuSlY WOrking To FeeL calm About mY LisT of thIngs to ACcoMPLiSH That AfterNOon,4.0,joy
i always feel intimidated by other people especially when they always compare me to other people ever since i was young,4.0,fear
i be made to feel rotten,0.0,sadness
i started feeling hostile and i am checking my hemorrhoids,3.0,anger
i love wearing new shoes i just feel so glamourous and when i get a pair of designer shoes i love the box and all the trimmings that come with them,1.0,joy
i know about have to do largely with the fact that any feelings romantic or sexual i have successfully hidden from myself,2.0,love
I JUST LOVE THE FEELING OF sOMEtHING WARmlY HUGGING yOU aND FEELInG SO PRECIOus ANd SMALL PReCIOuS TO SOMEonE soMETHING,2.0,joy
im feeling far more mellow than normal,1.0,joy
i became more dismayed as i studied what people were wearing and started feeling like though some of the outfits were gorgeous they were bought that way,3.0,joy
i dont want to wax them off and draw them in or anything i just need to not have a unibrow and maybe get rid of the few spare hairs creeping down toward my eyelid if im feeling brave,1.0,joy
im feeling lucky width li style border px l}ist style outside margin px px,3.0,joy
i recall those high school feelings and the longing with which i watched the olympic runners i feel st,2.0,love
i woke up feeling confident and watched the bodypump dvd to gather some coaching tips and compulsory cues,1.0,joy
i didnt say was that strong feelings always make me skeptical at first,4.0,fear
i want to talk to you about but with the limited time we have on the phone and with our current arrangment i feel hesitant to bring it up,4.0,fear
i am beginning to feel that theres a good chance i might pass,1.0,joy
i feel like i have a little more control and can help sweet pea better if i know what is ahead,1.0,joy
